item,m_sg,m_pl,f_sg,f_pl
730,capacitado,capacitados,capacitada,capacitadas
731,armado,armados,armada,armadas
732,palestino,palestinos,palestina,palestinas
733,libanés,libaneses,libanesa,
734,caótico,caóticos,caótica,caóticas
735,destructivo,destructivos,destructiva,
736,ocupado,ocupados,ocupada,
737,veterano,veteranos,veterana,
738,escocés,,,
739,estupendo,estupendos,estupenda,
740,inglés,ingleses,inglesa,inglesas
741,valioso,valiosos,valiosa,valiosas
742,catalán,catalanes,catalana,catalanas
743,televisivo,televisivos,televisiva,televisivas
744,subtitulado,,,
745,auditivo,,,auditivas
746,indicativo,,,indicativas
747,liberalizados,,,
748,garantizado,garantizados,garantizada,
749,beneficiario,beneficiarios,beneficiaria,
750,inscrito,inscritos,,
751,vasco,vascos,vasca,vascas
752,aplazado,,,
753,agosteño,agosteños,agosteña,agosteñas
754,ciudadano,ciudadanos,ciudadana,ciudadanas
755,victorioso,victoriosos,victoriosa,victoriosas
756,reconvertido,,,
757,amargo,amargos,amarga,amargas
758,nervioso,nerviosos,nerviosa,
759,descansado,descansados,,
760,instaurado,instaurados,,
761,dotado,dotados,dotada,
762,desaparecido,desaparecidos,desaparecida,
763,agitado,agitados,agitada,agitadas
764,desesperado,desesperados,desesperada,
765,indebido,indebidos,indebida,indebidas
766,inmediato,inmediatos,inmediata,inmediatas
767,madrileño,madrileños,madrileña,madrileñas
768,crítico,críticos,crítica,críticas
769,logrado,logrados,lograda,
770,sobrado,sobrados,sobrada,sobradas
771,reducido,reducidos,reducida,reducidas
772,mono,monos,mona,monas
773,aprobado,aprobados,aprobada,aprobadas
774,clásico,clásicos,clásica,clásicas
775,gratuito,gratuitos,gratuita,gratuitas
776,flamenco,flamencos,flamenca,flamencas
777,requerido,requeridos,requerida,
778,derrotado,derrotados,derrotada,
779,yugoslavo,yugoslavos,yugoslava,yugoslavas
780,arropado,arropados,arropada,arropadas
781,convocado,convocados,convocada,convocadas
782,radiofónico,radiofónicos,radiofónica,radiofónicas
783,democratacristiano,,,
784,diverso,diversos,diversa,diversas
785,ideológico,ideológicos,ideológica,ideológicas
786,expedientado,expedientados,expedientada,expedientadas
787,laico,laicos,,
788,discreto,discretos,discreta,discretas
789,hermético,,,
790,propagandístico,propagandísticos,propagandística,
791,innovadoro,,,innovadoras
792,confuso,confusos,confusa,confusas
793,logístico,logísticos,logística,logísticas
794,limitado,limitados,limitada,limitadas
795,dicho,dichos,dicha,dichas
796,avanzado,avanzados,avanzada,avanzadas
797,estabilizado,estabilizados,,
798,legítimo,legítimos,legítima,
799,contrario,contrarios,contraria,contrarias
800,retributivo,,,retributivas
801,cacareado,cacareados,,
802,egipcio,egipcios,egipcia,egipcias
803,cisjordano,cisjordanos,cisjordana,cisjordanas
804,afilado,afilados,afilada,afiladas
805,extremo,extremos,extrema,extremas
806,bravo,,,bravas
807,airado,,,
808,lacónico,,,
809,aburrido,aburridos,,
810,parco,,,parcas
811,característico,característicos,característica,
812,gélido,gélidos,gélida,gélidas
813,atractivo,atractivos,atractiva,atractivas
814,turbador,,,turbadoras
815,preconizado,,,preconizadas
816,mediterráneo,mediterráneos,mediterránea,mediterráneas
817,legislativo,legislativos,legislativa,legislativas
818,corso,corsos,corsa,
819,sujeto,sujetos,sujeta,sujetas
820,profundo,profundos,profunda,profundas
821,dueño,dueños,,
822,detenido,detenidos,detenida,detenidas
823,penitenciario,penitenciarios,penitenciaria,penitenciarias
824,satánico,satánicos,,
825,visitado,visitados,visitada,visitadas
826,luciferino,,,luciferinas
827,arreglado,arreglados,arreglada,arregladas
828,soviético,soviéticos,soviética,soviéticas
829,complicado,complicados,complicada,complicadas
830,soberano,soberanos,soberana,soberanas
831,quebequés,,,
832,musulmán,musulmanes,musulmana,musulmanas
833,minusválido,minusválidos,,
834,bonito,bonitos,bonita,bonitas
835,inspirado,inspirados,inspirada,inspiradas
836,plantado,plantados,plantada,plantadas
837,tupido,,,
838,estético,estéticos,estética,
839,valenciano,valencianos,valenciana,
840,lesbiano,lesbianos,lesbiana,lesbianas
841,olvidado,olvidados,olvidada,olvidadas
842,escondido,escondidos,escondida,escondidas
843,calificado,calificados,calificada,calificadas
844,allegado,allegados,,
845,guerrillero,guerrilleros,guerrillera,guerrilleras
846,checheno,chechenos,chechena,chechenas
847,checo,checos,checa,
848,sanitario,sanitarios,sanitaria,sanitarias
849,indonesio,indonesios,indonesia,
850,implicado,implicados,implicada,implicadas
851,perpetrado,perpetrados,perpetrada,perpetradas
852,formulado,formulados,formulada,formuladas
853,callejero,callejeros,callejera,
854,colocado,colocados,colocada,colocadas
855,sospechoso,sospechosos,sospechosa,sospechosas
856,enterrado,enterrados,enterrada,enterradas
857,recibido,recibidos,recibida,recibidas
858,pronunciado,pronunciados,pronunciada,pronunciadas
859,progresivo,progresivos,progresiva,progresivas
860,desgarrador,desgarradores,desgarradora,desgarradoras
861,holandés,holandeses,holandesa,
862,creativo,creativos,creativa,creativas
863,subterráneo,subterráneos,subterránea,subterráneas
864,circulatorio,circulatorios,circulatoria,circulatorias
865,constructivo,constructivos,constructiva,constructivas
866,acabado,acabados,acabada,acabadas
867,acuático,acuáticos,acuática,acuáticas
868,matriculado,matriculados,matriculada,matriculadas
869,inmovilizado,inmovilizados,inmovilizada,
870,calcinado,calcinados,calcinada,
871,hallado,hallados,hallada,halladas
872,unido,unidos,unida,unidas
873,desunido,desunidos,,
874,distorsionado,distorsionados,distorsionada,distorsionadas
875,tractor,tractores,tractora,tractoras
876,subcontratado,,,subcontratadas
877,afectado,afectados,afectada,afectadas
878,ferroviario,ferroviarios,ferroviaria,ferroviarias
879,ingresado,ingresados,ingresada,ingresadas
880,atendido,atendidos,,
881,dictado,dictados,dictada,dictadas
882,presunto,presuntos,presunta,presuntas
883,disciplinario,disciplinarios,disciplinaria,disciplinarias
884,asociativo,asociativos,asociativa,asociativas
885,sustituto,,,
886,penado,penados,,
887,cotidiano,cotidianos,cotidiana,cotidianas
888,crudo,crudos,cruda,crudas
889,ginecológico,,,
890,doloroso,,,dolorosas
891,hospitalario,hospitalarios,hospitalaria,hospitalarias
892,homogéneo,homogéneos,homogénea,homogéneas
893,indicado,indicados,indicada,
894,oligofrénico,,,
895,alcohólico,alcohólicos,alcohólica,alcohólicas
896,mal,,,
897,urbanístico,urbanísticos,urbanística,urbanísticas
898,desnudo,desnudos,desnuda,desnudas
899,suizo,suizos,suiza,
900,enmarcado,,,
901,contributivo,,,contributivas
902,adquisitivo,,,adquisitivas
903,irrisorio,irrisorios,irrisoria,irrisorias
904,zanjado,zanjados,zanjada,zanjadas
905,accidentado,accidentados,,
906,registrado,registrados,registrada,registradas
907,operativo,operativos,operativa,operativas
908,utilizado,utilizados,utilizada,utilizadas
909,desbordado,desbordados,desbordada,desbordadas
910,vicioso,,,
911,sembrado,,,sembradas
912,descompensado,,,
913,barredor,,,barredoras
914,provisto,provistos,provista,
915,estudiado,estudiados,estudiada,estudiadas
916,decepcionado,decepcionados,decepcionada,
917,contado,contados,contada,
918,liberalizador,,,liberalizadoras
919,portugués,portugueses,portuguesa,
920,muchísimo,muchísimos,muchísima,muchísimas
921,mantenido,mantenidos,mantenida,mantenidas
922,incorporado,incorporados,,
923,negociador,negociadores,negociadora,negociadoras
924,bloqueado,bloqueados,bloqueada,bloqueadas
925,alguno,algunos,alguna,algunas
926,jubilado,,,
927,alquilado,alquilados,alquilada,alquiladas
928,nórdico,nórdicos,nórdica,
929,austríaco,austríacos,austríaca,austríacas
930,reconocido,reconocidos,reconocida,reconocidas
931,remitido,remitidos,remitida,remitidas
932,antidopaje,,,
933,tildado,,,
934,pedagógico,pedagógicos,pedagógica,pedagógicas
935,nico,nicos,nica,nicas
936,continuo,continuos,continua,continuas
937,automatizado,automatizados,automatizada,automatizadas
938,idóneo,idóneos,idónea,idóneas
939,equilibrado,equilibrados,equilibrada,equilibradas
940,preso,presos,presa,presas
941,retirado,retirados,retirada,retiradas
942,procesado,procesados,,
943,solicitado,solicitados,solicitada,solicitadas
944,propicio,propicios,propicia,propicias
945,seguido,seguidos,seguida,seguidas
946,cívico,cívicos,cívica,cívicas
947,ecuatoriano,ecuatorianos,ecuatoriana,ecuatorianas
948,amarillo,amarillos,amarilla,amarillas
949,acoplado,,,acopladas
950,botón,,,botón
951,rico,ricos,rica,ricas
952,imbuido,,,
953,sarcástico,sarcásticos,,
954,pequeñoburgués,pequeñoburgueses,,
955,cariado,cariados,,
956,ensartado,ensartados,,
957,alternado,alternados,alternada,alternadas
958,idéntico,idénticos,idéntica,idénticas
959,rojizo,rojizos,rojiza,rojizas
960,tumultuoso,,,
961,enrabietado,enrabietados,enrabietada,enrabietadas
962,cochambrosete,,,
963,populachero,populacheros,populachera,populacheras
964,desarrapado,desarrapados,desarrapada,desarrapadas
965,viejorro,viejorros,viejorra,viejorras
966,pendedero,pendederos,pendedera,pendederas
967,maleado,maleados,maleada,maleadas
968,retorcido,retorcidos,retorcida,retorcidas
969,campesino,campesinos,campesina,campesinas
970,acalambrado,,,
971,antipático,,,
972,pamplinoso,,,
973,sumido,sumidos,sumida,
974,bravío,,,
975,compulsivo,compulsivos,compulsiva,compulsivas
976,dialéctico,dialécticos,dialéctica,dialécticas
977,metido,metidos,metida,
978,aleccionado,aleccionados,,
979,paralizado,paralizados,paralizada,paralizadas
980,defensivo,defensivos,defensiva,defensivas
981,específico,específicos,específica,específicas
982,potentísimo,,,
983,enganchado,enganchados,enganchada,enganchadas
984,puesto,puestos,puesta,puestas
985,espléndido,espléndidos,espléndida,espléndidas
986,culminado,,,culminadas
987,soberbio,,,
988,expresivo,expresivos,expresiva,expresivas
989,escueto,escuetos,escueta,escuetas
990,rectilíneo,rectilíneos,,
991,intermedio,intermedios,intermedia,intermedia
992,traslúcido,,,
993,hipnotizado,,,
994,enriquecido,enriquecidos,,
995,alusivo,alusivos,,
996,lícito,lícitos,lícita,lícitas
997,obrero,obreros,obrera,obreras
998,rotundo,rotundos,rotunda,rotundas
999,temerario,temerarios,temeraria,
1000,rudo,rudos,ruda,
1001,resbaladizo,resbaladizos,,
1002,perfeccionado,perfeccionados,perfeccionada,perfeccionadas
1003,problemático,problemáticos,problemática,
1004,grueso,gruesos,gruesa,gruesas
1005,adiposo,,,adiposas
1006,protéico,protéicos,protéica,protéicas
1007,mismísimo,mismísimos,mismísima,mismísimas
1008,críptico,,,crípticas
1009,cromático,cromáticos,,
1010,pardo,pardos,parda,pardas
1011,costero,costeros,costera,costeras
1012,oneroso,onerosos,onerosa,onerosas
1013,agotado,agotados,agotada,agotadas
1014,armonioso,armoniosos,armoniosa,armoniosas
1015,paterno,paternos,paterna,
1016,asiduo,asiduos,,
1017,urdido,urdidos,urdida,urdidas
1018,cortesano,cortesanos,,
1019,rancio,rancios,rancia,
1020,forzado,forzados,forzada,forzadas
1021,psicológico,psicológicos,psicológica,psicológicas
1022,llevado,llevados,llevada,llevadas
1023,preciso,precisos,precisa,precisas
1024,exacto,exactos,exacta,exactas
1025,causado,causados,causada,causadas
1026,balístico,balísticos,balística,
1027,igualado,igualados,igualada,igualadas
1028,gravitatorio,,,
1029,medido,medidos,medida,medidas
1030,recordado,recordados,recordada,recordadas
1031,sudafricano,sudafricanos,sudafricana,sudafricanas
1032,extraviado,extraviados,extraviada,extraviadas
1033,sucedido,,,
1034,exculpatorio,,,
1035,mudo,mudos,muda,mudas
1036,precipitado,precipitados,precipitada,precipitadas
1037,preferido,preferidos,preferida,
1038,añorado,,,
1039,caribeño,caribeños,caribeña,caribeñas
1040,agrario,agrarios,agraria,agrarias
1041,puestísimo,,,
1042,levantisco,levantiscos,levantisca,
1043,cabreado,,,
1044,deprimido,,,deprimidas
1045,destructor,destructores,destructora,destructoras
1046,doctrinario,doctrinarios,doctrinaria,doctrinarias
1047,conmocionado,conmocionados,,
1048,ocurrido,ocurridos,,
1049,sito,sitos,sita,sitas
1050,citado,citados,citada,citadas
1051,soltero,solteros,soltera,solteras
1052,mencionado,mencionados,mencionada,
1053,callado,callados,callada,calladas
1054,educado,educados,educada,
1055,misterioso,misteriosos,misteriosa,misteriosas
1056,apelusado,apelusados,apelusada,apelusadas
1057,burro,burros,burra,burras
1058,gordo,gordos,gorda,gordas
1059,áspero,ásperos,áspera,ásperas
1060,oscuro,oscuros,oscura,oscuras
1061,tostado,,,
1062,rubio,rubios,rubia,rubias
1063,publicitario,publicitarios,publicitaria,publicitarias
1064,oxidado,,,oxidadas
1065,arañado,,,arañadas
1066,presidido,presididos,presidida,presididas
1067,constructor,constructores,constructora,constructoras
1068,turbio,turbios,turbia,turbias
1069,haitiano,haitianos,,
1070,incautado,incautados,incautada,incautadas
1071,decimotercero,decimoterceros,decimotercera,decimoterceras
1072,empadronado,,,empadronadas
1073,temprano,tempranos,temprana,tempranas
1074,fraudulento,fraudulentos,fraudulenta,fraudulentas
1075,opositor,opositores,opositora,opositoras
1076,impregnado,impregnados,impregnada,
1077,mutuo,mutuos,mutua,mutuas
1078,camuflado,camuflados,,
1079,organizador,organizadores,organizadora,organizadoras
1080,especificado,especificados,especificada,especificadas
1081,indocumentado,indocumentados,indocumentada,indocumentadas
1082,automático,automáticos,automática,
1083,ubicado,ubicados,ubicada,ubicadas
1084,ofertado,ofertados,,
1085,demandado,demandados,demandada,demandadas
1086,casado,casados,casada,casadas
1087,establecido,establecidos,establecida,establecidas
1088,señalado,señalados,señalada,señaladas
1089,interesado,interesados,interesada,interesadas
1090,típico,típicos,típica,típicas
1091,asiático,asiáticos,asiática,asiáticas
1092,flojo,flojos,floja,
1093,cuadrado,cuadrados,cuadrada,cuadradas
1094,novedoso,novedosos,novedosa,novedosas
1095,milenario,milenarios,milenaria,milenarias
1096,conjunto,conjuntos,conjunta,conjuntas
1097,comunicado,comunicados,comunicada,comunicadas
1098,monetario,monetarios,monetaria,monetarias
1099,guiado,,,guiadas
1100,paraguayo,,,
1101,emparejado,,,
1102,copero,,,
1103,gaditano,,,
1104,extensísimo,extensísimos,extensísima,extensísimas
1105,gráfico,gráficos,gráfica,gráficas
1106,canterano,,,
1107,competitivo,competitivos,competitiva,competitivas
1108,añadido,añadidos,añadida,
1109,disminuido,disminuidos,disminuida,disminuidas
1110,obligatorio,obligatorios,obligatoria,obligatorias
1111,televisado,televisados,televisada,televisadas
1112,masivo,masivos,masiva,masivas
1113,ortodoxo,ortodoxos,ortodoxa,ortodoxas
1114,enardecido,enardecidos,enardecida,enardecidas
1115,conservador,conservadores,conservadora,conservadoras
1116,cruzado,cruzados,cruzada,
1117,tardío,tardíos,tardía,
1118,cooperativo,cooperativos,cooperativa,cooperativas
1119,empatado,empatados,empatada,
1120,alimentario,alimentarios,alimentaria,alimentarias
1121,humanitario,humanitarios,humanitaria,humanitarias
1122,desproporcionado,desproporcionados,desproporcionada,desproporcionadas
1123,cometido,cometidos,cometida,cometidas
1124,tibio,tibios,tibia,tibias
1125,indiscriminado,indiscriminados,indiscriminada,indiscriminadas
1126,escandinavo,escandinavos,escandinava,
1127,compartido,compartidos,compartida,compartidas
1128,aritmético,aritméticos,aritmética,aritméticas
1129,recorrido,recorridos,,
1130,hondureño,hondureños,hondureña,hondureñas
1131,anulado,,,
1132,finalizado,finalizados,finalizada,finalizadas
1133,terminado,terminados,terminada,
1134,futbolístico,futbolísticos,futbolística,futbolísticas
1135,ordenado,ordenados,ordenada,ordenadas
1136,demostrado,demostrados,demostrada,demostradas
1137,sentenciado,sentenciados,sentenciada,sentenciadas
1138,interactivo,interactivos,interactiva,interactivas
1139,alcanzado,alcanzados,,
1140,quieto,quietos,quieta,
1141,guipuzcoano,guipuzcoanos,guipuzcoana,
1142,ilusionado,ilusionados,ilusionada,
1143,empinado,,,empinadas
1144,polarizado,polarizados,polarizada,polarizadas
1145,enfrentado,enfrentados,enfrentada,enfrentadas
1146,fluido,fluidos,fluida,
1147,planteado,planteados,planteada,
1148,prioritario,prioritarios,prioritaria,prioritarias
1149,injusto,injustos,injusta,injustas
1150,asignado,asignados,asignada,asignadas
1151,inhumano,,,inhumanas
1152,molesto,molestos,molesta,molestas
1153,redondo,redondos,redonda,redondas
1154,seleccionado,seleccionados,seleccionada,seleccionadas
1155,artificioso,artificiosos,,
1156,islámico,islámicos,islámica,islámicas
1157,coránico,coránicos,coránica,coránicas
1158,indefinido,indefinidos,indefinida,indefinidas
1159,encarcelado,encarcelados,,
1160,boliviano,bolivianos,boliviana,bolivianas
1161,amazónico,amazónicos,amazónica,
1162,anotado,,,
1163,adversa,adversos,adversa,adversas
1164,turco,turcos,turca,turcas
1165,teórico,teóricos,teórica,
1166,echado,echados,echada,echadas
1167,rápido,rápidos,rápida,rápida
1168,cualificado,cualificados,cualificada,
1169,opositoro,opositoros,opositora,opositoras
1170,habilitado,habilitados,habilitada,
1171,escrutado,escrutados,escrutada,escrutadas
1172,lituano,lituanos,lituana,
1173,agrónomo,,,
1174,respaldado,respaldados,respaldada,
1175,productor,productores,productora,
1176,difundido,difundidos,difundida,difundidas
1177,despótico,,,
1178,excluido,excluidos,,
1179,impuesto,impuestos,impuesta,impuestas
1180,encerrado,encerrados,encerrada,
1181,minero,mineros,minera,mineras
1182,hotelero,hoteleros,hotelera,hoteleras
1183,espontáneo,espontáneos,espontánea,espontáneas
1184,articulado,articulados,articulada,articuladas
1185,hídrico,hídricos,hídrica,hídricas
1186,dinámico,dinámicos,dinámica,dinámicas
1187,exportador,exportadores,exportadora,exportadoras
1188,reciclado,reciclados,,
1189,Verdes,verdes,,
1190,considerado,considerados,considerada,
1191,sólo,,,
1192,reiterado,reiterados,reiterada,reiteradas
1193,generalizado,generalizados,generalizada,generalizadas
1194,surafricano,,,
1195,autoritario,autoritarios,autoritaria,
1196,plagado,plagados,plagada,plagadas
1197,arduo,arduos,ardua,
1198,delicado,delicados,delicada,delicadas
1199,javanés,javanéses,javanesa,javanesas
1200,coreografiado,coreografiados,coreografiada,
1201,impulsivo,impulsivos,impulsiva,impulsivas
1202,desmoralizad,desmoralizados,,
1203,contradictorio,contradictorios,contradictoria,contradictorias
1204,turbulento,turbulentos,turbulenta,
1205,anticuado,anticuados,anticuada,anticuadas
1206,electrónico,electrónicos,electrónica,electrónicas
1207,vigoroso,vigorosos,vigorosa,vigorosas
1208,vigués,,,
1209,sinónimo,,,
1210,vitoriano,,,
1211,aragonés,aragoneses,aragonesa,aragonesas
1212,afortunado,afortunados,afortunada,
1213,verdiblanco,,,
1214,decimoséptimo,,,
1215,decimoctavo,decimoctavos,decimoctava,decimoctavas
1216,regulador,reguladores,reguladora,reguladoras
1217,construido,construidos,construida,construidas
1218,educativo,educativos,educativa,educativas
1219,ultraortodoxo,,,
1220,sorpresivo,sorpresivos,sorpresiva,sorpresivas
1221,penúltimo,penúltimos,penúltima,penúltimas
1222,alejado,alejados,alejada,
1223,oportuno,oportunos,oportuna,oportunas
1224,norteño,norteños,norteña,norteñas
1225,viario,viarios,viaria,viarias
1226,explotador,explotadores,explotadora,
1227,referido,referidos,referida,
1228,concesionario,concesionarios,concesionaria,concesionarias
1229,supeditado,supeditados,supeditada,supeditadas
1230,suplementario,suplementarios,suplementaria,suplementarias
1231,divulgado,,,
1232,encuestadoro,,,encuestadoras
1233,votado,votados,votada,
1234,manifiesto,manifiestos,manifiesta,manifiestas
1235,recluido,,,recluidas
1236,capitalino,capitalinos,capitalina,capitalinas
1237,imposibilitado,imposibilitados,imposibilitada,imposibilitadas
1238,fotografiado,fotografiados,fotografiada,fotografiadas
1239,fotográfico,fotográficos,fotográfica,fotográficas
1240,homónimo,homónimos,homónima,homónimas
1241,telefónico,telefónicos,telefónica,telefónicas
1242,personalizado,personalizados,personalizada,personalizadas
1243,iniciativo,iniciativos,iniciativa,iniciativas
1244,íntegro,íntegros,íntegra,íntegras
1245,fraccionado,fraccionados,,
1246,pirenaico,pirenaicos,pirenaica,pirenaicas
1247,nevado,nevados,nevada,nevadas
1248,levantado,,,
1249,devastado,,,
1250,operístico,operísticos,operística,operísticas
1251,imaginado,imaginados,imaginada,imaginadas
1252,estilizado,estilizados,estilizada,
1253,fatuo,fatuos,,
1254,liceístico,,,liceísticas
1255,dominado,dominados,dominada,dominadas
1256,frío,fríos,fría,frías
1257,ingrato,,,
1258,centenario,centenarios,centenaria,centenarias
1259,avispado,avispados,,
1260,pionero,pioneros,pionera,pioneras
1261,inmobiliario,inmobiliarios,inmobiliaria,inmobiliarias
1262,encantado,encantados,encantada,encantadas
1263,giratorio,giratorios,giratoria,giratorias
1264,pétreo,pétreos,pétrea,pétreas
1265,renovador,renovadores,renovadora,
1266,delegado,delegados,delegada,delegadas
1267,capitaneado,capitaneados,capitaneada,capitaneadas
1268,participado,participados,participada,participadas
1269,clasificado,clasificados,clasificada,
1270,dificilísimo,,,
1271,rítmico,rítmicos,rítmica,rítmicas
1272,reservado,reservados,reservada,reservadas
1273,relajado,relajados,relajada,
1274,premeditado,premeditados,premeditada,premeditadas
1275,honesto,honestos,honesta,
1276,preclaro,preclaros,preclara,preclaras
1277,maravilloso,maravillosos,maravillosa,maravillosas
1278,ético,éticos,ética,
1279,simpático,simpáticos,simpática,simpáticas
1280,ochentero,ochenteros,ochentera,ochenteras
1281,discográfico,discográficos,discográfica,
1282,vendido,vendidos,vendida,vendidas
1283,corto-medio,,,
1284,inadvertido,inadvertidos,inadvertida,inadvertidas
1285,civilizado,civilizados,civilizada,
1286,vikingo,vikingos,vikinga,vikingas
1287,bobalicón,bobalicones,,
1288,avinagrado,,,
1289,flemático,,,
1290,estreñido,,,
1291,facilongo,facilongos,facilonga,facilongas
1292,badalonés,,,
1293,organizativo,organizativos,organizativa,organizativas
1294,undécimo,undécimos,undécima,undécimas
1295,ligado,ligados,ligada,ligadas
1296,centrado,centrados,centrada,centradas
1297,negociado,negociados,negociada,
1298,noveno,novenos,novena,novenas
1299,convulsionado,,,
1300,díscolo,,,
1301,taciturno,,,
1302,forjado,,,
1303,fantástico,fantásticos,fantástica,
1304,malsano,malsanos,malsana,malsanas
1305,esperpéntico,,,
1306,burgués,burguéses,burguesa,burguesas
1307,demacrado,demacrados,,
1308,parapetado,parapetados,,
1309,indeterminado,,,
1310,ensordecedor,,,
1311,espeso,espesos,espesa,espesas
1312,intercalado,intercalados,intercalada,intercaladas
1313,ponzoñoso,ponzoñosos,ponzoñosa,ponzoñosas
1314,etílico,,,
1315,emparentado,,,emparentadas
1316,reseco,resecos,reseca,resecas
1317,caluroso,calurosos,calurosa,
1318,pútrido,pútridos,pútrida,pútridas
1319,inédito,inéditos,inédita,inéditas
1320,tasado,,,
1321,estimado,,,estimadas
1322,cotizado,cotizados,cotizada,cotizadas
1323,sofisticado,sofisticados,sofisticada,sofisticadas
1324,instintivo,instintivos,instintiva,instintivas
1325,paradójico,paradójicos,paradójica,paradójicas
1326,esnob,,,
1327,sacrosanto,sacrosantos,sacrosanta,sacrosantas
1328,anárquico,anárquicos,anárquica,anárquicas
1329,xenófobo,xenófobos,xenófoba,xenófobas
1330,fanático,fanáticos,fanática,fanáticas
1331,declarado,declarados,,
1332,vencedor,vencedores,,
1333,tremendo,tremendos,tremenda,
1334,antagónico,antagónicos,antagónica,
1335,apagado,,,
1336,cómodo,cómodos,cómoda,cómodas
1337,literario,literarios,literaria,literarias
1338,titulado,titulados,titulada,tituladas
1339,autobiográfico,autobiográficos,autobiográfica,autobiográficas
1340,polifacético,,,
1341,cargado,cargados,cargada,cargadas
1342,filmado,filmados,,
1343,aclamado,aclamados,,
1344,indignado,indignados,indignada,indignadas
1345,nostálgico,nostálgicos,nostálgica,nostálgicas
1346,constituido,constituidos,constituida,constituidas
1347,concedido,concedidos,concedida,concedidas
1348,vertido,vertidos,vertida,vertidas
1349,destronado,destronados,destronada,destronadas
1350,desmedido,desmedidos,desmedida,desmedidas
1351,caritativo,caritativos,caritativa,caritativas
1352,seductor,seductores,seductora,seductoras
1353,encendido,encendidos,encendida,
1354,innecesario,innecesarios,innecesaria,innecesarias
1355,multitudinario,multitudinarios,multitudinaria,
1356,desmentido,desmentidos,desmentida,desmentidas
1357,abatido,,,
1358,arraigado,arraigados,arraigada,
1359,cuidadoso,cuidadosos,cuidadosa,cuidadosas
1360,remilgado,,,
1361,invalidado,,,invalidadas
1362,albanés,albaneses,albanesa,
1363,macedonio,macedonios,macedonia,macedonias
1364,rodeado,rodeados,rodeada,rodeadas
1365,relacionado,relacionados,relacionada,relacionadas
1366,complicadísimo,,,
1367,marroquí,,,
1368,damnificado,damnificados,,
1369,análogo,análogos,análoga,
1370,ilustrado,ilustrados,ilustrada,ilustradas
1371,descartado,descartados,descartada,descartadas
1372,interiorizado,,,
1373,arcaico,arcaicos,,
1374,socieconómico,socieconómicos,socieconómica,socieconómicas
1375,comprensivo,comprensivos,,
1376,vigilado,vigilados,vigilada,vigiladas
1377,acosado,,,
1378,longevo,longevos,longeva,longevas
1379,asesinado,asesinados,asesinada,
1380,todopoderoso,todopoderosos,todopoderosa,todopoderosas
1381,ejecutor,ejecutores,ejecutora,ejecutoras
1382,montado,montados,montada,
1383,balcanizado,,,
1384,imperativo,,imperativo,
1385,acuñado,,,
1386,burocrático,burocráticos,burocrática,burocráticas
1387,corrupto,corruptos,corrupta,corruptas
1388,apadrinado,apadrinados,,
1389,domiciliario,domiciliarios,,
1390,delictivo,delictivos,delictiva,
1391,secreto,secretos,secreta,secretas
1392,trasero,traseros,trasera,traseras
1393,supersticioso,supersticiosos,supersticiosa,supersticiosas
1394,gastado,gastados,gastada,gastadas
1395,distraído,distraídos,distraída,distraídas
1396,destripado,,,
1397,modernizado,modernizados,,
1398,contenido,contenidos,contenida,contenidas
1399,presupuestario,presupuestarios,presupuestaria,
1400,preventivo,preventivos,preventiva,preventivas
1401,sumergido,sumergidos,sumergida,
1402,encuestado,encuestados,,
1403,cautivador,cautivadores,cautivadora,cautivadoras
1404,exótico,exóticos,exótica,exóticas
1405,loco,locos,loca,locas
1406,liderado,liderados,liderada,
1407,menudo,menudos,menuda,menudas
1408,salpicado,salpicados,salpicada,salpicadas
1409,rendido,,,
1410,conectado,conectados,conectada,conectadas
1411,inexplorado,,,
1412,desolado,,,
1413,esparcido,,,esparcidas
1414,transgénico,transgénicos,transgénica,transgénicas
1415,reproducido,reproducidos,reproducida,reproducidas
1416,farmacéutico,farmacéuticos,farmacéutica,farmacéuticas
1417,leridano,leridanos,leridana,leridanas
1418,rescatado,rescatados,rescatada,
1419,director,directores,directora,
1420,hipotético,hipotéticos,hipotética,hipotéticas
1421,norteafricano,norteafricanos,norteafricana,
1422,benévolo,benévolos,benévola,benévolas
1423,doloso,,,
1424,intencionado,intencionados,intencionada,
1425,barcelonés,barcelonéses,barcelonesa,barcelonesas
1426,retribuido,retribuidos,retribuida,
1427,letrado,letrados,,
1428,confiscatorio,,,
1429,informatizado,informatizados,informatizada,
1430,inequívoco,inequívocos,inequívoca,inequívocas
1431,quirúrgico,quirúrgicos,quirúrgica,
1432,arrojadizo,arrojadizos,arrojadiza,arrojadizas
1433,arquitectónico,arquitectónicos,arquitectónica,arquitectónicas
1434,conocedor,conocedores,conocedora,conocedoras
1435,costoso,costosos,costosa,costosas
1436,anexo,anexos,anexa,anexas
1437,emblemático,emblemáticos,emblemática,emblemáticas
1438,aliado,aliados,aliada,aliadas
1439,adquirido,adquiridos,adquirida,
1440,apto,aptos,apta,aptas
1441,controlado,controlados,controlada,controladas
1442,porcino,porcinos,porcina,porcinas
1443,sumado,,,sumadas
1444,chárter,,,
1445,encapuchado,encapuchados,,
1446,emprendido,emprendidos,emprendida,
1447,parisino,parisinos,parisina,
1448,millonario,millonarios,millonaria,millonarias
1449,consultado,consultados,consultada,consultadas
1450,comprendido,,,
1451,presupuestado,presupuestados,presupuestada,presupuestadas
1452,rodado,rodados,rodada,rodadas
